language_group,source_file,docid,title,country,incomegroup,year,link,rag_complete,bb_info,bb_info_conf,bb_info_evidence,bb_info_stage,bb_structped,bb_structped_conf,bb_structped_evidence,bb_structped_stage,bb_targeted,bb_targeted_conf,bb_targeted_evidence,bb_targeted_stage,bb_parentstim,bb_parentstim_conf,bb_parentstim_evidence,bb_parentstim_stage,bb_preprimary,bb_preprimary_conf,bb_preprimary_evidence,bb_preprimary_stage,bb_travel,bb_travel_conf,bb_travel_evidence,bb_travel_stage,bb_merit,bb_merit_conf,bb_merit_evidence,bb_merit_stage,bb_deworm,bb_deworm_conf,bb_deworm_evidence,bb_deworm_stage
English,nep_counted_llm_rag_full.dta,130.0,Strategjia e zhvillimit të arsimit parauniversitar 2014-2020: Draft,Albania,Upper middle income,2014,http://planipolis.iiep.unesco.org/en/2014/strategjia-e-zhvillimit-t%C3%AB-arsimit-parauniversitar-2014-2020-draft-6159,1,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.95,,triage,1,0.95,the new curricula of pse are based on social emotional physical and intellectual development of the child it ensures active involvement in the process of learning,verify,1,0.98,transport costs for pupils attending primary education far from their residence in a distance over 2 km are covered by public funds,verify,1,1.0,scholarships are allotted based on economic criteria low household income and high academic results,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,280.0,State program for educational development: for the period of 2001-2005,Armenia,Upper middle income,2000,http://planipolis.iiep.unesco.org/en/2000/state-program-educational-development-period-2001-2005-3801,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.6,3 mandatory allocation of funds from the state budget to the preschool institutions in program part,verify,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,271.0,Transforming Australia's higher education system,Australia,High income,2009,http://planipolis.iiep.unesco.org/en/2009/transforming-australias-higher-education-system-5646,1,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,1,0.97,exempt equity and merit based scholarships from income testing for the purposes of student income support payments scholarships have a key role in encouraging and assisting students,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,248.0,Universities Australia Strategy for Women : 2011-2014,Australia,High income,2010,http://planipolis.iiep.unesco.org/en/2010/universities-australia-strategy-women-2011-2014,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage,0,1.0,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,263.0,Corporate plan 2017-2018: opportunity through learning,Australia,High income,2017,http://planipolis.iiep.unesco.org/en/2017/corporate-plan-2017-2018-opportunity-through-learning-6411,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.6,supporting the delivery of at least 600 hours of quality early learning preschool programs for children in the year before full time school,verify,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,350.0,Draft national teacher workforce action plan,Australia,High income,2022,http://planipolis.iiep.unesco.org/en/2022/draft-national-teacher-workforce-action-plan-7460,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,1,0.98,south australia is introducing 400 university scholarships worth $5 000 each targeting diverse cohorts,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,160.0,Department of Education Corporate Plan 2024–25,Australia,High income,2024,http://planipolis.iiep.unesco.org/en/2024/department-education-corporate-plan-2024-25,1,0,1.0,,triage,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,375.0,National foundation skills strategy: A strong and sustainable Australian foundation skills sector 2025-2035,Australia,High income,2024,http://planipolis.iiep.unesco.org/en/2024/national-foundation-skills-strategy-strong-and-sustainable-australian-foundation-skills-sector,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,246.0,Bahamian youth: the untapped resource,Bahamas,High income,2005,http://planipolis.iiep.unesco.org/en/2005/bahamian-youth-untapped-resource-4969,1,0,1.0,,triage,0,1.0,,triage,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,281.0,Bahamian youth: the untapped resource,Bahamas,High income,2005,http://planipolis.iiep.unesco.org/en/2005/bahamian-youth-untapped-resource-4969,1,0,0.9,,triage,0,1.0,,triage,0,0.2,it is a remedial learning program that has sion and parental involvement and too much resi been in operation for 3 years it is a 4 week half day dential mobility account for most of the remaining summer program for 3rd 5th and 8th grade students disadvantage,verify,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,274.0,Strategic plan 2011-2014,Bahrain,High income,2010,http://planipolis.iiep.unesco.org/en/2010/strategic-plan-2011-2014-5563,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,1,0.95,the ministry strives to provide the talented and high grade achievers from the secondary school graduates with the opportunities to pursue their university studies through providing scholarships grants,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,80.0,National higher education strategy 2014-2024: putting higher education at the heart of the nation,Bahrain,High income,2014,http://planipolis.iiep.unesco.org/en/2014/national-higher-education-strategy-2014-2024-putting-higher-education-heart-nation-6642,1,0,0.9,,triage,0,0.9,,triage,0,0.3,adopt new admissions standards across standards linked to hei tiering tiers and levels and programs system,verify,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,1,1.0,develop schemes such as merit based and need based funding opportunities for bahrainis,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,43.0,National research strategy for the Kingdom of Bahrain 2014-2024,Bahrain,High income,2014,http://planipolis.iiep.unesco.org/en/2014/national-research-strategy-kingdom-bahrain-2014-2024-6643,1,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage,0,0.9,,triage,1,0.95,establish stable and sufficient source of merit based research funding for universities,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,184.0,"Back-to-school guidelines: schools, universities and all educational institutions",Bahrain,High income,2020,http://planipolis.iiep.unesco.org/en/2020/back-school-guidelines-schools-universities-and-all-educational-institutions-7151,1,0,0.95,,triage,0,1.0,,triage,0,0.2,draw up an online learning plan and training programme • devise a study plan and identify competencies and lessons for both online and face to face learning for each academic stage,verify,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,16.0,Second Primary Education Development Program PEDP-II,Bangladesh,Lower middle income,2004,http://planipolis.iiep.unesco.org/en/2004/second-primary-education-development-program-pedp-ii-4358,1,0,0.9,,triage,1,0.95,curriculum support packages » schoo! level improvement plan slip p supplementary reading materials for all schools,verify,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,364.0,Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes,Bangladesh,Lower middle income,2011,http://planipolis.iiep.unesco.org/en/2011/third-primary-education-development-programme-pedp3-1-main-document-2-implementation-guide-3,1,0,1.0,,triage,1,0.95,teachers are accountable to ensure the learning progress and achievement of all children through effective teaching learning process  participate in continuous professional development activities concerned with school curriculum subject contents assessment and other job related issues  prepare and use of lesson plans  prepare use and preserve lesson based teaching aids  use of teacher’s guide and other teaching learning materials,verify,1,0.95,children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth,verify,0,0.9,,triage,1,0.95,government is pledged to provide one year of free pre primary education to 5 and 6 year olds at gps sufficient numbers of new pre primary teachers will be recruited for this purpose,verify,0,0.6,for them small country boats are the only means of transportation to go anywhere and send their children to schools,verify,1,0.98,the government has promised merit based scholarships for the 55 000 students with the highest marks of the 2 5 million students registered,verify,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,395.0,Pre primary education expansion plan,Bangladesh,Lower middle income,2012,http://planipolis.iiep.unesco.org/en/2012/pre-primary-education-expansion-plan-5869,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,1,0.9,children 3 5 years of age are attending pre school programs of some kind and have access to programs of health nutrition social physical and intellectual development,verify,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,38.0,Reaching Out of School Children (ROSC II),Bangladesh,Lower middle income,2012,http://planipolis.iiep.unesco.org/en/2012/reaching-out-school-children-rosc-ii-6626,1,0,0.95,,triage,1,0.95,academic guidance to lc teachers on the use of subject plans teaching learning materials including posters charts and audio visual clips,verify,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,0,0.95,,triage,1,0.9,the student allowances intended to attract out of school children to enroll in lcs and retain them through the primary cycle would be provided to the students enrolled in rosc lcs who meet the following criteria i coming from disadvantaged households ii aged between 7 and 12 inclusive at the time of initial enrolment iii having a project id card iv average attendance of 80 percent every quarter and v passing trimester exams in respective grades,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,14.0,Master plan for information and communication technology in education (2012-2021),Bangladesh,Lower middle income,2013,http://planipolis.iiep.unesco.org/en/2013/master-plan-information-and-communication-technology-education-2012-2021-6580,1,0,0.9,,triage,0,0.0,,verify_evidence_fail,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.95,,triage
English,nep_counted_llm_rag_full.dta,269.0,Third Primary Education Development  Program (PEDP - 3) - Revised (2011-2016),Bangladesh,Lower middle income,2015,http://planipolis.iiep.unesco.org/en/2015/third-primary-education-development-program-pedp-3-revised-2011-2016-6393,1,0,0.9,,triage,1,0.95,textbooks and teachers’ guides will be developed trialed adjusted and introduced nationwide for all subjects in all primary grades,verify,0,0.95,,triage,0,0.8,,triage,0,0.0,,verify_evidence_fail,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,60.0,Fourth Primary Education Development Program (PEDP4) - Environmental Management Framework (EMF),Bangladesh,Lower middle income,2018,http://planipolis.iiep.unesco.org/en/2018/fourth-primary-education-development-program-pedp4-environmental-management-framework-emf-6625,1,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,59.0,Fourth Primary Education Development Program (PEDP4) - Infrastructure Plan and Planning Guidelines,Bangladesh,Lower middle income,2018,http://planipolis.iiep.unesco.org/en/2018/fourth-primary-education-development-program-pedp4-infrastructure-plan-and-planning-guidelines,1,0,0.95,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,528.0,Education sector plan (ESP) for Bangladesh Fiscal years 2020/21-2024/25,Bangladesh,Lower middle income,2020,http://planipolis.iiep.unesco.org/en/2020/education-sector-plan-esp-bangladesh-fiscal-years-202021-202425-7052,1,0,1.0,,triage,0,0.0,,verify_evidence_fail,0,0.7,increased number of grades 1 and 2 teachers trained in remedial education based on assessment results,verify,0,0.9,,triage,1,0.95,measurable learning and development outcomes achieved in pre primary • adequate numbers of teachers facilitators with necessary professional preparation and training,verify,0,0.9,,triage,1,0.95,a scholarship program for tertiary level students will be initiated which will cover 30 percent of the total enrolled students including a higher proportion of female students the scholarships will exclusively cover meritorious students from households in the two poorest income quintiles,verify,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,196.0,National SDG 4 Strategic Framework: ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,Bangladesh,Lower middle income,2022,http://planipolis.iiep.unesco.org/en/2022/national-sdg-4-strategic-framework-ensure-inclusive-and-equitable-quality-education-and-promote,1,0,0.95,,triage,0,0.9,,triage,0,0.9,,triage,0,0.5,as well as to provide more parenting education,verify,1,0.95,■ making pre school services universal with quality education ppe every government primary school is ■ conducting a nationwide child survey,verify,0,0.9,,triage,0,0.0,,verify_evidence_fail,0,0.95,,triage
English,nep_counted_llm_rag_full.dta,482.0,National strategic plan for higher education colleges in Bangladesh: 2023-2031,Bangladesh,Lower middle income,2024,http://planipolis.iiep.unesco.org/en/2024/national-strategic-plan-higher-education-colleges-bangladesh-2023-2031,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,1,1.0,scholarships will be awarded to the students according to their merit and financial solvency of their parents,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,337.0,Strategic plan 2002-2012,Barbados,High income,2002,http://planipolis.iiep.unesco.org/en/2002/strategic-plan-2002-2012-5529,1,0,0.9,,triage,0,0.9,,triage,1,0.9,promotion towards developmentally appropriate learning levels children will be promoted in the main only after they have demonstrated satisfactory performances,verify,0,0.9,,triage,0,0.0,,verify_evidence_fail,1,0.9,the ministry is committed to the establishment of an effective and efficient school transportation system,verify,0,0.6,the provision of a wide range of awards grants exhibitions and scholarships at the tertiary level,verify,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,180.0,Barbados schools’ model emergency operations plan: multi-hazard emergency planning for schools,Barbados,High income,2015,http://planipolis.iiep.unesco.org/en/2015/barbados-schools-model-emergency-operations-plan-multi-hazard-emergency-planning-schools,1,0,1.0,,triage,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage,0,1.0,,triage,0,1.0,,triage,0,1.0,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,360.0,Belize: Ministry of Education Action Plan 2005-2010,Belize,Upper middle income,2005,http://planipolis.iiep.unesco.org/en/2005/belize-ministry-education-action-plan-2005-2010-4206,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.5,institutionalize training for parents of aug 2005 ongoing  increase knowledge ecedc mhd  organized training involvement preschool children  greater and more effective workshops for parents of home support preschool children,verify,1,0.95,establish and resource a specialized unit april 2005  greater efficiency and moe  centre with appropriate early childhood education and effectiveness in service staff and equipment development centre delivery 2 train certify 50 of preschool teachers august 2010  improve quality of preschool moe teachers  50 of preschool teachers 2005 experience trained and certified 3 complete curriculum development august ongoing  promote standardization ecedc  standardized preschool implement in all preschools 2005 curriculum in all preschools,verify,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,254.0,"Belize Education Sector Strategy 2011-2016: improving access, quality and governance of education in Belize",Belize,Upper middle income,2011,http://planipolis.iiep.unesco.org/en/2011/belize-education-sector-strategy-2011-2016-improving-access-quality-and-governance-education,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.5,ensure a pre primary ger of at least 50 in both urban and rural areas of all districts,verify,1,0.95,with just less than one third of non wage expenditure going on the free school transportation scheme bz$6 million,verify,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,330.0,Belize education sector plan 2021-2025: making education for work for Belize,Belize,Upper middle income,2021,http://planipolis.iiep.unesco.org/en/2021/belize-education-sector-plan-2021-2025-making-education-work-belize-7401,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,1,0.95,establish a comprehensive play oriented preschool and lower primary education curriculum which includes reading visual arts dancing planting music civics and an introduction,verify,0,0.9,,triage,1,1.0,the first 75 candidates in order of merit at the end of standard iii as a tool to assess were granted scholarship awards due to performance in english and mathematics,verify,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,462.0,10th Five Year Plan (2008-2013) Education Sector,Bhutan,Lower middle income,2008,http://planipolis.iiep.unesco.org/en/2008/10th-five-year-plan-2008-2013-education-sector-5538,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.5,the long term objective of this sub program is to establish and promote sound parenting and care practices for young children,verify,0,0.9,,triage,1,0.95,possibility of bussing service to transport children to nearby schools especially in the urban centres having good road networks will also be explored during the 10th plan,verify,1,1.0,provide five to ten ex country undergraduate scholarships to attract quality candidates in subject areas such as mathematics sciences and english,verify,0,0.9,,triage
English,nep_counted_llm_rag_full.dta,11.0,National action plan for school earthquake safety,Bhutan,Lower middle income,2013,http://planipolis.iiep.unesco.org/en/2013/national-action-plan-school-earthquake-safety-5537,1,0,0.9,,triage,0,0.9,,triage,0,0.1,programs tailored to target audiences such as principals disaster management teams focal persons and others could reinforce and expand existing training agendas,verify,0,1.0,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,5.0,Bhutan Education Blueprint 2014-2024: rethinking education,Bhutan,Lower middle income,2014,http://planipolis.iiep.unesco.org/en/2014/bhutan-education-blueprint-2014-2024-rethinking-education-6058,1,0,0.9,,triage,0,0.95,,triage,0,0.9,,triage,0,0.6,a home based parenting education catering to children aged 0 2 years to promote sound parenting and childcare practices,verify,0,0.9,,triage,0,0.9,,triage,0,0.0,,verify_evidence_fail,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,190.0,Education ICT master plan 2014-2018,Bhutan,Lower middle income,2016,http://planipolis.iiep.unesco.org/en/2014/education-ict-master-plan-2014-2018-6241,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,0.95,,triage,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage
English,nep_counted_llm_rag_full.dta,336.0,Tertiary education roadmap for Bhutan 2017-2027: towards bringing positive reforms in the tertiary education system,Bhutan,Lower middle income,2017,http://planipolis.iiep.unesco.org/en/2017/tertiary-education-roadmap-bhutan-2017-2027-towards-bringing-positive-reforms-tertiary,1,0,0.9,,triage,0,0.9,,triage,0,0.9,,triage,0,1.0,,triage,0,0.95,,triage,0,0.9,,triage,1,1.0,government scholarships both within the country and outside are awarded solely on merit basis,verify,0,1.0,,triage
